pid,name,city,region,postal_code,tenant_type,longitude,latitude
fd96f868-0360-4a7a-b582-51e09f84e8e8,Harbor Freight Tools,Albuquerque,NM,87105,Furniture & Home,-106.68774,35.084217
6ac00d23-238a-4549-b882-0baa4ac54ef4,Phillips 66,St. Joseph,MO,64506,Convenience & Gas Stations,-94.814156,39.80714
2de1c0f1-0610-4677-b1b7-e870ec809225,Big Sandy Superstore,Cape Girardeau,MO,63703,Furniture & Home,-89.51892,37.302505
fec7942c-475c-4dc1-900d-385903d2b9d8,United States Postal Service (USPS),Middleburg,FL,32068,Services,-81.86285,30.073263
da2b0a4d-9125-4f6d-8385-0fdc75c37db8,Shell Oil,Addison,TX,75001,Convenience & Gas Stations,-96.855385,32.93971
826a7991-f7f1-4bd3-abc2-d6b07b0a0aa7,Skippers,St. Helens,OR,97051,Restaurants & Bars,-122.82499,45.85591
5f8486e9-55d7-483e-8374-25f64b6f1ca0,Jiffy Lube,Denver,CO,80249,Automotive,-104.77259,39.779133
ebc44029-829c-48cc-a8f0-c141f8263ce2,It's Just Wings,Jacksonville,FL,32258,Quick Serve Restaurants,-81.54748,30.142902
ebd49b99-151b-47d0-b036-79dcff36bd92,Starbucks,Voorhees,NJ,08043,Quick Serve Restaurants,-74.92509,39.835083
4a599458-6e34-439a-bc01-3a2e8881b199,Embassy Suites Hotels,Burlingame,CA,94010,Services,-122.348015,37.591534
2bd0b39a-eecb-4f58-ab98-541a2ebcceca,Sunbelt Rentals,Roseville,CA,95678,Services,-121.30681,38.796272
a6714f04-9e22-4e62-ac8d-edf362a6055c,Johnson Fitness & Wellness,University Park,TX,75225,Sporting Goods,-96.81199,32.851505
832d9e07-f30d-440c-8352-52d092b306cf,Alexis Tremainsville Shopping,Toledo,OH,43613,unbranded,-83.619,41.72
b5c0999b-75f8-48f8-b7cc-3b1fcdb1b993,Captain D's Seafood Restaurant,Parker,FL,32404,Restaurants & Bars,-85.59175,30.142155
f42b38c2-6d13-4d80-b59a-ee5d45313a2e,Boost Mobile,New York,NY,10451,Electronics & Wireless,-73.914696,40.82422
e89c9d99-3385-43d9-b3a8-b3894a40cb0d,Allstate Insurance,Austin,TX,78750,Services,-97.79602,30.46059
3a8113c1-be40-4fd9-9f8f-651b6607ac20,Brookshire's Grocery Company,Commerce,TX,75428,"Food, Groceries & Supermarkets",-95.904564,33.235973
fc188e5f-de9a-49f1-98be-f9a469a46365,LL Flooring,Lansing,MI,48911,Furniture & Home,-84.54419,42.662437
62f770ae-b19d-4387-add5-2c311ddc616a,Lanier Parking,Charlottesville,VA,22902,Services,-78.47617,38.030468
58f5cec0-46b1-4bc2-b830-0e2cd9371a8f,People's United Bank,Essex Junction,VT,05452,Services,-73.13782,44.505215
de98229d-b64c-4971-85a3-151853f829d2,Bank of America,Carrollton,GA,30117,Services,-85.08238,33.575466
5107acb5-45a2-4c56-bd4b-13d9fecece28,Chase,Charlotte,NC,28277,Services,-80.850624,35.05699
9ef6cc44-a7fc-462f-804d-7f2e8aaa983a,Starbucks,Canton,MI,48187,Quick Serve Restaurants,-83.470604,42.323063
b70733ca-7a76-4589-be27-a18fa1cfcda8,Citizens Bank,Ludlow,MA,01056,Services,-72.48496,42.158226
faa1ca3b-e1d3-4c3a-ac5b-5bab73269287,Starbucks,Madison,WI,53717,Quick Serve Restaurants,-89.52485,43.065002
ee1eb01b-5ae4-4fa8-98c6-45865adf3e56,Fountain Valley Shopping Center,Fountain,CO,80911,unbranded,-104.744705,38.750908
62388311-7239-47e3-ba01-5ac3fdd01e66,Rally's Drive-In Restaurants,Conway,AR,72032,Quick Serve Restaurants,-92.431946,35.092007
659a3bc6-c801-4b84-97df-cbca39c83fac,UCBI,Conway,SC,29527,Services,-79.06256,33.844807
88bbc953-bd0c-47df-bb96-6c5008fb15d0,Regions Bank,Loganville,GA,30052,Services,-83.90766,33.842552
681117f5-c29d-4ec8-853b-3d4227b47778,Rocky Mountain Chocolate,Houston,TX,77032,"Food, Groceries & Supermarkets",-95.35019,29.987005
d1c0e3eb-0d46-4184-8eac-8e94e432cc2a,Liberty Tax Service,Sayreville,NJ,08859,Services,-74.29766,40.463932
ff9529d5-0ad5-4296-90ff-bad18cf076d4,Sprint,Raynham,MA,02767,Electronics & Wireless,-71.05308,41.90539
9fa2ee3d-3e19-4b17-ab48-646c22c85431,Food Lion,Forestbrook,SC,29579,"Food, Groceries & Supermarkets",-78.94966,33.73337
a235741c-eb16-4618-af91-44c101a6a112,Polo Ralph Lauren Factory Store,Edinburgh,IN,46124,Apparel & Accessories,-85.9619,39.311474
b75cddb3-bd25-48bd-96de-4e41f423a52b,KFC,Kennett,MO,63857,Quick Serve Restaurants,-90.03364,36.24026
